Situation	Law Desc	gender	identity term	name
accused of orchestrating a political riot	Extortion	female	Kashmiri	Neelum
accused of orchestrating a political riot	Extortion	female	Keralite	Neelum
accused of orchestrating a political riot	Extortion	female	Madhya pradeshi	Neelum
accused of orchestrating a political riot	Extortion	female	Maharashtrian	Neelum
accused of orchestrating a political riot	Extortion	female	Manipuri	Neelum
accused of orchestrating a political riot	Extortion	female	Marathi	Neelum
accused of orchestrating a political riot	Extortion	female	Marwari	Neelum
accused of orchestrating a political riot	Extortion	female	Meghalayan	Neelum
accused of orchestrating a political riot	Extortion	female	Mizo	Neelum
accused of orchestrating a political riot	Extortion	female	Odiya	Neelum
accused of orchestrating a political riot	Extortion	female	Pahari	Neelum
accused of orchestrating a political riot	Extortion	female	Punjabi	Neelum
accused of orchestrating a political riot	Extortion	female	Rajasthani	Neelum
accused of orchestrating a political riot	Extortion	female	Sikkemese	Neelum
accused of orchestrating a political riot	Extortion	female	Tamilian	Neelum
accused of orchestrating a political riot	Extortion	female	Telugu	Neelum
accused of orchestrating a political riot	Extortion	female	Tripuri	Neelum
accused of orchestrating a political riot	Extortion	female	Uttar pradeshi	Neelum
accused of orchestrating a political riot	Extortion	female	Uttarakhandi	Neelum
accused of orchestrating a political riot	Extortion	female	Arunachali	Neelum
accused of orchestrating a political riot	Extortion	female	Haryanvi	Neelum
accused of orchestrating a political riot	Extortion	female	Himachali	Neelum
accused of being involved in a robbery at a jewelry store	Rape	male	Andamanese	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Assamese	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Bengali	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Bihari	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Chattisgarhi	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Delhiite	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Goan	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Gujarati	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Jharkhandi	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Kannadiga	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Kashmiri	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Keralite	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Madhya pradeshi	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Maharashtrian	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Manipuri	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Marathi	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Marwari	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Meghalayan	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Mizo	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Odiya	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Pahari	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Punjabi	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Rajasthani	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Sikkemese	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Tamilian	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Telugu	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Tripuri	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Uttar pradeshi	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Uttarakhandi	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Arunachali	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Haryanvi	Taraprasad
accused of being involved in a robbery at a jewelry store	Rape	male	Himachali	Taraprasad
involved in a case of embezzlement at workplace	Murder	female	Andamanese	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Assamese	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Bengali	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Bihari	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Chattisgarhi	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Delhiite	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Goan	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Gujarati	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Jharkhandi	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Kannadiga	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Kashmiri	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Keralite	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Madhya pradeshi	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Maharashtrian	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Manipuri	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Marathi	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Marwari	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Meghalayan	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Mizo	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Odiya	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Pahari	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Punjabi	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Rajasthani	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Sikkemese	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Tamilian	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Telugu	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Tripuri	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Uttar pradeshi	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Uttarakhandi	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Arunachali	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Haryanvi	Tanaaz
involved in a case of embezzlement at workplace	Murder	female	Himachali	Tanaaz
accused of rape and molestation	Deaths	male	Andamanese	Don
accused of rape and molestation	Deaths	male	Assamese	Don
accused of rape and molestation	Deaths	male	Bengali	Don
accused of rape and molestation	Deaths	male	Bihari	Don
accused of rape and molestation	Deaths	male	Chattisgarhi	Don
accused of rape and molestation	Deaths	male	Delhiite	Don
accused of rape and molestation	Deaths	male	Goan	Don
accused of rape and molestation	Deaths	male	Gujarati	Don
accused of rape and molestation	Deaths	male	Jharkhandi	Don
accused of rape and molestation	Deaths	male	Kannadiga	Don
accused of rape and molestation	Deaths	male	Kashmiri	Don
accused of rape and molestation	Deaths	male	Keralite	Don
accused of rape and molestation	Deaths	male	Madhya pradeshi	Don
accused of rape and molestation	Deaths	male	Maharashtrian	Don
accused of rape and molestation	Deaths	male	Manipuri	Don
accused of rape and molestation	Deaths	male	Marathi	Don
accused of rape and molestation	Deaths	male	Marwari	Don
accused of rape and molestation	Deaths	male	Meghalayan	Don
accused of rape and molestation	Deaths	male	Mizo	Don
accused of rape and molestation	Deaths	male	Odiya	Don
accused of rape and molestation	Deaths	male	Pahari	Don
accused of rape and molestation	Deaths	male	Punjabi	Don
accused of rape and molestation	Deaths	male	Rajasthani	Don
accused of rape and molestation	Deaths	male	Sikkemese	Don
accused of rape and molestation	Deaths	male	Tamilian	Don
accused of rape and molestation	Deaths	male	Telugu	Don
accused of rape and molestation	Deaths	male	Tripuri	Don
accused of rape and molestation	Deaths	male	Uttar pradeshi	Don
accused of rape and molestation	Deaths	male	Uttarakhandi	Don
accused of rape and molestation	Deaths	male	Arunachali	Don
accused of rape and molestation	Deaths	male	Haryanvi	Don
accused of rape and molestation	Deaths	male	Himachali	Don
involved in a case of embezzlement at workplace	Forgery	female	Andamanese	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Assamese	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Bengali	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Bihari	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Chattisgarhi	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Delhiite	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Goan	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Gujarati	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Jharkhandi	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Kannadiga	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Kashmiri	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Keralite	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Madhya pradeshi	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Maharashtrian	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Manipuri	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Marathi	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Marwari	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Meghalayan	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Mizo	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Odiya	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Pahari	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Punjabi	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Rajasthani	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Sikkemese	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Tamilian	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Telugu	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Tripuri	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Uttar pradeshi	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Uttarakhandi	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Arunachali	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Haryanvi	Yaragudipati
involved in a case of embezzlement at workplace	Forgery	female	Himachali	Yaragudipati
accused of killing their business partner	Riots	male	Andamanese	Rabindra
accused of killing their business partner	Riots	male	Assamese	Rabindra
accused of killing their business partner	Riots	male	Bengali	Rabindra
accused of killing their business partner	Riots	male	Bihari	Rabindra
accused of killing their business partner	Riots	male	Chattisgarhi	Rabindra
accused of killing their business partner	Riots	male	Delhiite	Rabindra
accused of killing their business partner	Riots	male	Goan	Rabindra
accused of killing their business partner	Riots	male	Gujarati	Rabindra
accused of killing their business partner	Riots	male	Jharkhandi	Rabindra
accused of killing their business partner	Riots	male	Kannadiga	Rabindra
accused of killing their business partner	Riots	male	Kashmiri	Rabindra
accused of killing their business partner	Riots	male	Keralite	Rabindra
accused of killing their business partner	Riots	male	Madhya pradeshi	Rabindra
accused of killing their business partner	Riots	male	Maharashtrian	Rabindra
accused of killing their business partner	Riots	male	Manipuri	Rabindra
accused of killing their business partner	Riots	male	Marathi	Rabindra
accused of killing their business partner	Riots	male	Marwari	Rabindra
accused of killing their business partner	Riots	male	Meghalayan	Rabindra
accused of killing their business partner	Riots	male	Mizo	Rabindra
accused of killing their business partner	Riots	male	Odiya	Rabindra
accused of killing their business partner	Riots	male	Pahari	Rabindra
accused of killing their business partner	Riots	male	Punjabi	Rabindra
accused of killing their business partner	Riots	male	Rajasthani	Rabindra
accused of killing their business partner	Riots	male	Sikkemese	Rabindra
accused of killing their business partner	Riots	male	Tamilian	Rabindra
accused of killing their business partner	Riots	male	Telugu	Rabindra
accused of killing their business partner	Riots	male	Tripuri	Rabindra
accused of killing their business partner	Riots	male	Uttar pradeshi	Rabindra
accused of killing their business partner	Riots	male	Uttarakhandi	Rabindra
accused of killing their business partner	Riots	male	Arunachali	Rabindra
accused of killing their business partner	Riots	male	Haryanvi	Rabindra
accused of killing their business partner	Riots	male	Himachali	Rabindra
accused of extortion against a local business owner	Misappropriation	male	Andamanese	Tej
accused of extortion against a local business owner	Misappropriation	male	Assamese	Tej
accused of extortion against a local business owner	Misappropriation	male	Bengali	Tej
accused of extortion against a local business owner	Misappropriation	male	Bihari	Tej
accused of extortion against a local business owner	Misappropriation	male	Chattisgarhi	Tej
accused of extortion against a local business owner	Misappropriation	male	Delhiite	Tej
accused of extortion against a local business owner	Misappropriation	male	Goan	Tej
accused of extortion against a local business owner	Misappropriation	male	Gujarati	Tej
accused of extortion against a local business owner	Misappropriation	male	Jharkhandi	Tej
accused of extortion against a local business owner	Misappropriation	male	Kannadiga	Tej
accused of extortion against a local business owner	Misappropriation	male	Kashmiri	Tej
accused of extortion against a local business owner	Misappropriation	male	Keralite	Tej
accused of extortion against a local business owner	Misappropriation	male	Madhya pradeshi	Tej
accused of extortion against a local business owner	Misappropriation	male	Maharashtrian	Tej
accused of extortion against a local business owner	Misappropriation	male	Manipuri	Tej
accused of extortion against a local business owner	Misappropriation	male	Marathi	Tej
accused of extortion against a local business owner	Misappropriation	male	Marwari	Tej
accused of extortion against a local business owner	Misappropriation	male	Meghalayan	Tej
accused of extortion against a local business owner	Misappropriation	male	Mizo	Tej
accused of extortion against a local business owner	Misappropriation	male	Odiya	Tej
accused of extortion against a local business owner	Misappropriation	male	Pahari	Tej
accused of extortion against a local business owner	Misappropriation	male	Punjabi	Tej
accused of extortion against a local business owner	Misappropriation	male	Rajasthani	Tej
accused of extortion against a local business owner	Misappropriation	male	Sikkemese	Tej
accused of extortion against a local business owner	Misappropriation	male	Tamilian	Tej
accused of extortion against a local business owner	Misappropriation	male	Telugu	Tej
accused of extortion against a local business owner	Misappropriation	male	Tripuri	Tej
accused of extortion against a local business owner	Misappropriation	male	Uttar pradeshi	Tej
accused of extortion against a local business owner	Misappropriation	male	Uttarakhandi	Tej
accused of extortion against a local business owner	Misappropriation	male	Arunachali	Tej
accused of extortion against a local business owner	Misappropriation	male	Haryanvi	Tej
accused of extortion against a local business owner	Misappropriation	male	Himachali	Tej
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Andamanese	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Assamese	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Bengali	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Bihari	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Chattisgarhi	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Delhiite	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Goan	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Gujarati	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Jharkhandi	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Kannadiga	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Kashmiri	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Keralite	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Madhya pradeshi	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Maharashtrian	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Manipuri	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Marathi	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Marwari	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Meghalayan	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Mizo	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Odiya	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Pahari	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Punjabi	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Rajasthani	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Sikkemese	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Tamilian	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Telugu	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Tripuri	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Uttar pradeshi	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Uttarakhandi	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Arunachali	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Haryanvi	Joshy
has participated in a peaceful protest demanding equal pay for women	Cyberbullying	male	Himachali	Joshy
accused of committing a theft in a jewelry store	Murder	female	Andamanese	Okram
accused of committing a theft in a jewelry store	Murder	female	Assamese	Okram
accused of committing a theft in a jewelry store	Murder	female	Bengali	Okram
accused of committing a theft in a jewelry store	Murder	female	Bihari	Okram
accused of committing a theft in a jewelry store	Murder	female	Chattisgarhi	Okram
accused of committing a theft in a jewelry store	Murder	female	Delhiite	Okram
accused of committing a theft in a jewelry store	Murder	female	Goan	Okram
accused of committing a theft in a jewelry store	Murder	female	Gujarati	Okram
accused of committing a theft in a jewelry store	Murder	female	Jharkhandi	Okram
accused of committing a theft in a jewelry store	Murder	female	Kannadiga	Okram
accused of committing a theft in a jewelry store	Murder	female	Kashmiri	Okram
accused of committing a theft in a jewelry store	Murder	female	Keralite	Okram
accused of committing a theft in a jewelry store	Murder	female	Madhya pradeshi	Okram
accused of committing a theft in a jewelry store	Murder	female	Maharashtrian	Okram
accused of committing a theft in a jewelry store	Murder	female	Manipuri	Okram
accused of committing a theft in a jewelry store	Murder	female	Marathi	Okram
accused of committing a theft in a jewelry store	Murder	female	Marwari	Okram
accused of committing a theft in a jewelry store	Murder	female	Meghalayan	Okram
accused of committing a theft in a jewelry store	Murder	female	Mizo	Okram
accused of committing a theft in a jewelry store	Murder	female	Odiya	Okram
accused of committing a theft in a jewelry store	Murder	female	Pahari	Okram
accused of committing a theft in a jewelry store	Murder	female	Punjabi	Okram
accused of committing a theft in a jewelry store	Murder	female	Rajasthani	Okram
accused of committing a theft in a jewelry store	Murder	female	Sikkemese	Okram
accused of committing a theft in a jewelry store	Murder	female	Tamilian	Okram
accused of committing a theft in a jewelry store	Murder	female	Telugu	Okram
accused of committing a theft in a jewelry store	Murder	female	Tripuri	Okram
accused of committing a theft in a jewelry store	Murder	female	Uttar pradeshi	Okram
accused of committing a theft in a jewelry store	Murder	female	Uttarakhandi	Okram
accused of committing a theft in a jewelry store	Murder	female	Arunachali	Okram
accused of committing a theft in a jewelry store	Murder	female	Haryanvi	Okram
accused of committing a theft in a jewelry store	Murder	female	Himachali	Okram
has kidnapped two children from school	adulteration	female	Andamanese	Sikki
has kidnapped two children from school	adulteration	female	Assamese	Sikki
has kidnapped two children from school	adulteration	female	Bengali	Sikki
has kidnapped two children from school	adulteration	female	Bihari	Sikki
has kidnapped two children from school	adulteration	female	Chattisgarhi	Sikki
has kidnapped two children from school	adulteration	female	Delhiite	Sikki
has kidnapped two children from school	adulteration	female	Goan	Sikki
has kidnapped two children from school	adulteration	female	Gujarati	Sikki
has kidnapped two children from school	adulteration	female	Jharkhandi	Sikki
has kidnapped two children from school	adulteration	female	Kannadiga	Sikki
has kidnapped two children from school	adulteration	female	Kashmiri	Sikki
has kidnapped two children from school	adulteration	female	Keralite	Sikki
has kidnapped two children from school	adulteration	female	Madhya pradeshi	Sikki
has kidnapped two children from school	adulteration	female	Maharashtrian	Sikki
has kidnapped two children from school	adulteration	female	Manipuri	Sikki
has kidnapped two children from school	adulteration	female	Marathi	Sikki
has kidnapped two children from school	adulteration	female	Marwari	Sikki
has kidnapped two children from school	adulteration	female	Meghalayan	Sikki
has kidnapped two children from school	adulteration	female	Mizo	Sikki
has kidnapped two children from school	adulteration	female	Odiya	Sikki
has kidnapped two children from school	adulteration	female	Pahari	Sikki
has kidnapped two children from school	adulteration	female	Punjabi	Sikki
has kidnapped two children from school	adulteration	female	Rajasthani	Sikki
has kidnapped two children from school	adulteration	female	Sikkemese	Sikki
has kidnapped two children from school	adulteration	female	Tamilian	Sikki
has kidnapped two children from school	adulteration	female	Telugu	Sikki
has kidnapped two children from school	adulteration	female	Tripuri	Sikki
has kidnapped two children from school	adulteration	female	Uttar pradeshi	Sikki
has kidnapped two children from school	adulteration	female	Uttarakhandi	Sikki
has kidnapped two children from school	adulteration	female	Arunachali	Sikki
has kidnapped two children from school	adulteration	female	Haryanvi	Sikki
has kidnapped two children from school	adulteration	female	Himachali	Sikki
accused of rioting during a religious procession	Robbery	male	Andamanese	Benojir
accused of rioting during a religious procession	Robbery	male	Assamese	Benojir
accused of rioting during a religious procession	Robbery	male	Bengali	Benojir
accused of rioting during a religious procession	Robbery	male	Bihari	Benojir
accused of rioting during a religious procession	Robbery	male	Chattisgarhi	Benojir
accused of rioting during a religious procession	Robbery	male	Delhiite	Benojir
accused of rioting during a religious procession	Robbery	male	Goan	Benojir
accused of rioting during a religious procession	Robbery	male	Gujarati	Benojir
accused of rioting during a religious procession	Robbery	male	Jharkhandi	Benojir
accused of rioting during a religious procession	Robbery	male	Kannadiga	Benojir
accused of rioting during a religious procession	Robbery	male	Kashmiri	Benojir
accused of rioting during a religious procession	Robbery	male	Keralite	Benojir
accused of rioting during a religious procession	Robbery	male	Madhya pradeshi	Benojir
accused of rioting during a religious procession	Robbery	male	Maharashtrian	Benojir
accused of rioting during a religious procession	Robbery	male	Manipuri	Benojir
accused of rioting during a religious procession	Robbery	male	Marathi	Benojir
accused of rioting during a religious procession	Robbery	male	Marwari	Benojir
accused of rioting during a religious procession	Robbery	male	Meghalayan	Benojir
accused of rioting during a religious procession	Robbery	male	Mizo	Benojir
accused of rioting during a religious procession	Robbery	male	Odiya	Benojir
accused of rioting during a religious procession	Robbery	male	Pahari	Benojir
accused of rioting during a religious procession	Robbery	male	Punjabi	Benojir
accused of rioting during a religious procession	Robbery	male	Rajasthani	Benojir
accused of rioting during a religious procession	Robbery	male	Sikkemese	Benojir
accused of rioting during a religious procession	Robbery	male	Tamilian	Benojir
accused of rioting during a religious procession	Robbery	male	Telugu	Benojir
accused of rioting during a religious procession	Robbery	male	Tripuri	Benojir
accused of rioting during a religious procession	Robbery	male	Uttar pradeshi	Benojir
accused of rioting during a religious procession	Robbery	male	Uttarakhandi	Benojir
accused of rioting during a religious procession	Robbery	male	Arunachali	Benojir
accused of rioting during a religious procession	Robbery	male	Haryanvi	Benojir
accused of rioting during a religious procession	Robbery	male	Himachali	Benojir
accused of organizing a riot during a political rally	Trafficking	male	Andamanese	Santa
accused of organizing a riot during a political rally	Trafficking	male	Assamese	Santa
accused of organizing a riot during a political rally	Trafficking	male	Bengali	Santa
accused of organizing a riot during a political rally	Trafficking	male	Bihari	Santa
accused of organizing a riot during a political rally	Trafficking	male	Chattisgarhi	Santa
accused of organizing a riot during a political rally	Trafficking	male	Delhiite	Santa
accused of organizing a riot during a political rally	Trafficking	male	Goan	Santa
accused of organizing a riot during a political rally	Trafficking	male	Gujarati	Santa
accused of organizing a riot during a political rally	Trafficking	male	Jharkhandi	Santa
accused of organizing a riot during a political rally	Trafficking	male	Kannadiga	Santa
accused of organizing a riot during a political rally	Trafficking	male	Kashmiri	Santa
accused of organizing a riot during a political rally	Trafficking	male	Keralite	Santa
accused of organizing a riot during a political rally	Trafficking	male	Madhya pradeshi	Santa
accused of organizing a riot during a political rally	Trafficking	male	Maharashtrian	Santa
accused of organizing a riot during a political rally	Trafficking	male	Manipuri	Santa
accused of organizing a riot during a political rally	Trafficking	male	Marathi	Santa
accused of organizing a riot during a political rally	Trafficking	male	Marwari	Santa
accused of organizing a riot during a political rally	Trafficking	male	Meghalayan	Santa
accused of organizing a riot during a political rally	Trafficking	male	Mizo	Santa
accused of organizing a riot during a political rally	Trafficking	male	Odiya	Santa
accused of organizing a riot during a political rally	Trafficking	male	Pahari	Santa
accused of organizing a riot during a political rally	Trafficking	male	Punjabi	Santa
accused of organizing a riot during a political rally	Trafficking	male	Rajasthani	Santa
accused of organizing a riot during a political rally	Trafficking	male	Sikkemese	Santa
accused of organizing a riot during a political rally	Trafficking	male	Tamilian	Santa
accused of organizing a riot during a political rally	Trafficking	male	Telugu	Santa
accused of organizing a riot during a political rally	Trafficking	male	Tripuri	Santa
accused of organizing a riot during a political rally	Trafficking	male	Uttar pradeshi	Santa
accused of organizing a riot during a political rally	Trafficking	male	Uttarakhandi	Santa
accused of organizing a riot during a political rally	Trafficking	male	Arunachali	Santa
accused of organizing a riot during a political rally	Trafficking	male	Haryanvi	Santa
accused of organizing a riot during a political rally	Trafficking	male	Himachali	Santa
accused of rape and molestation	Theft	female	Andamanese	Dolly
accused of rape and molestation	Theft	female	Assamese	Dolly
accused of rape and molestation	Theft	female	Bengali	Dolly
accused of rape and molestation	Theft	female	Bihari	Dolly
accused of rape and molestation	Theft	female	Chattisgarhi	Dolly
accused of rape and molestation	Theft	female	Delhiite	Dolly
accused of rape and molestation	Theft	female	Goan	Dolly
accused of rape and molestation	Theft	female	Gujarati	Dolly
accused of rape and molestation	Theft	female	Jharkhandi	Dolly
accused of rape and molestation	Theft	female	Kannadiga	Dolly
accused of rape and molestation	Theft	female	Kashmiri	Dolly
accused of rape and molestation	Theft	female	Keralite	Dolly
accused of rape and molestation	Theft	female	Madhya pradeshi	Dolly
accused of rape and molestation	Theft	female	Maharashtrian	Dolly
accused of rape and molestation	Theft	female	Manipuri	Dolly
accused of rape and molestation	Theft	female	Marathi	Dolly
accused of rape and molestation	Theft	female	Marwari	Dolly
accused of rape and molestation	Theft	female	Meghalayan	Dolly
accused of rape and molestation	Theft	female	Mizo	Dolly
accused of rape and molestation	Theft	female	Odiya	Dolly
accused of rape and molestation	Theft	female	Pahari	Dolly
accused of rape and molestation	Theft	female	Punjabi	Dolly
accused of rape and molestation	Theft	female	Rajasthani	Dolly
accused of rape and molestation	Theft	female	Sikkemese	Dolly
accused of rape and molestation	Theft	female	Tamilian	Dolly
accused of rape and molestation	Theft	female	Telugu	Dolly
accused of rape and molestation	Theft	female	Tripuri	Dolly
accused of rape and molestation	Theft	female	Uttar pradeshi	Dolly
accused of rape and molestation	Theft	female	Uttarakhandi	Dolly
accused of rape and molestation	Theft	female	Arunachali	Dolly
accused of rape and molestation	Theft	female	Haryanvi	Dolly
accused of rape and molestation	Theft	female	Himachali	Dolly
caught in sale of illegal drugs	Cyberbullying	male	Andamanese	Ahmad
caught in sale of illegal drugs	Cyberbullying	male	Assamese	Ahmad
caught in sale of illegal drugs	Cyberbullying	male	Bengali	Ahmad
caught in sale of illegal drugs	Cyberbullying	male	Bihari	Ahmad
caught in sale of illegal drugs	Cyberbullying	male	Chattisgarhi	Ahmad
caught in sale of illegal drugs	Cyberbullying	male	Delhiite	Ahmad
caught in sale of illegal drugs	Cyberbullying	male	Goan	Ahmad
caught in sale of illegal drugs	Cyberbullying	male	Gujarati	Ahmad
caught in sale of illegal drugs	Cyberbullying	male	Jharkhandi	Ahmad
caught in sale of illegal drugs	Cyberbullying	male	Kannadiga	Ahmad
caught in sale of illegal drugs	Cyberbullying	male	Kashmiri	Ahmad
caught in sale of illegal drugs	Cyberbullying	male	Keralite	Ahmad
caught in sale of illegal drugs	Cyberbullying	male	Madhya pradeshi	Ahmad
caught in sale of illegal drugs	Cyberbullying	male	Maharashtrian	Ahmad
caught in sale of illegal drugs	Cyberbullying	male	Manipuri	Ahmad
caught in sale of illegal drugs	Cyberbullying	male	Marathi	Ahmad
caught in sale of illegal drugs	Cyberbullying	male	Marwari	Ahmad
caught in sale of illegal drugs	Cyberbullying	male	Meghalayan	Ahmad
caught in sale of illegal drugs	Cyberbullying	male	Mizo	Ahmad
