	Identity	Attribute	Total	West Suburban	West Urban	South Suburban	South Urban	East Suburban	East Urban	North Suburban	North Urban	Female	Male	General Category	Scheduled Castes	Scheduled Tribes	Other Backward Classes	Hindu	Muslim	Jain	Sikh	Buddhist	Christian	Unnamed: 23	Unnamed: 24
249	Odia	poor 	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0		
250	Boys	Do not cry	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0		
251	Lower caste	public transport driver	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0		
252	Punjabi	Having restaurant	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
253	Punjabi	Drink	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
254	Punjab	Drugs	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0		
255	Punjab	Punjabi dance	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0		
256	Protestants	Hardworking	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
257	Poor people	Less intelligent	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
258	Poor people	Unhappy	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
259	Punjabi	Non-vegetarian	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
260	Punjabi	NRIs	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0		
261	Punjabi	Garage works	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
262	Punjabi	Outspoken	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
263	Punjabi	Do not beg	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0		
264	Punjabi	Drinks a lot	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0		
265	Punjabi	Army	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0		
266	Punjabi	Always non vegetarian	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0		
267	Punjabi	Cooking	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
268	Punjabi	Eat only non-veg	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0		
269	Punjabi	Famers	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
270	Punjabi	Skilled	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
271	Punjabi	Owning a truck	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0		
272	Punjabi	Food	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0		
273	Politician	Corrupt	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
274	Politicians	Selfish	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1		
275	Small town Indian	illiterate	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
276	Rural Indians	Ill-mannered	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		
277	Chinese	Tall and beautiful	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
278	Rural Indians	poor	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1		
279	Keralities	Educated	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
280	Pardhi	Thief	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
281	Pandit	pray	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0		
282	Menstruating women	impure	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		
283	Politicians	Education not needed	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
284	Politicians	Liars	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		
285	Politicians	Cheaters	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0		
286	Politicians	Corruption	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0		
287	Politician	Corrupt	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0		
288	Police	Arrogant	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1		
289	Pink colour	Female	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0		
290	Pink colour	Is only for girls	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
291	Pink	Feminine	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
292	Male	Physical labor	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
293	Disabled person	Inferior	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1		
294	Women	Conservative clothing	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
295	Uttar Pradeshis, Biharis	Must be ips, collector	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
296	Odisha	Poor	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
297	Mizos	Are jhum cultivators	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
298	Mochi	Shoemaker	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0		
299	Most doctors	Males	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0		
300	Most Girls	Mentally strong	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0		
301	Men	Runs the family	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
302	Men	Are better cook than females	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
303	Men	Do not do household work	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
304	Men	are not emotional.	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
305	Men	Are arrogant	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0		
306	Men's	Emotionless	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0		
307	Muslim	Black magician	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
308	Muslim cheliya	Restaurants	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
309	Muslim women	Oppressed	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0		
310	Muslims	Chicken vendor	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
311	Muslims	Traders	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
312	Muslims	Cow killing	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0		
313	Music	Stress booster	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0		
314	Mumbaikars	Television working	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
315	Mumbai	Workaholic culture	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
316	Most female	Are empowered	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
317	Mother	Responsibile for children's mistake	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
318	Mother	House wife	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
319	Mothers	Strict	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
320	Mothers	Talented	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0		
321	Mountain women	Pretty	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
322	Men	Businessesmen	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0		
323	Men	Emotionless	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0		
324	Men	Pink	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0		
325	Men	Irrational	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
326	Men	Not nurse	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
327	Men	Self sufficiency	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0		
328	Men	Makeup/jewellery	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0		
329	Men	Worker	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
330	Men	Pilots	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
331	Men	Job	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
332	Men	Bread winner	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
333	Men	Don’t cry	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
334	Men	Working	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
335	Medharis	Seamstress	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
336	Meditation	Superstition	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0		
337	Men	Never Cries	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
338	Men	Have more power than women	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
339	Men	Scientists	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
340	Men	aggressive	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
341	Men	Authority	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
342	Men	Businessmen	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0		
343	Men	Should play with cars only	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0		
344	Men	Should not do child bearing	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
345	Men	Are assertive	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
346	Men	Backbone	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
347	Men	Dominating	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
348	Men	Engineer	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0		
349	Men	Cheaters	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0		
350	Men	Don't feel pain	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
351	Men	Patriarchal	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
352	Men	Can’t cook	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0		
353	Men	To look after family	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
354	Men	Military	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		
355	Men	Leader	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
356	Men	House head	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0		
357	Men	Can’t cry	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
358	Men	Protecters	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
359	Men	Bread-Butter Earner	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
360	OBC	Farmers	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
361	Obc	Low caste	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0		
362	North east	Chinese	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
363	Odia	take afternoon naps.	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
364	Nurses	Why should only women should be nurses and not boys	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0		
365	Not fluent in English	Implies you are an illiterate	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0		
366	North east	Chinkis	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0		
367	North eastern	Chinese	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0		
368	North indians	Hardworking	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
369	North indians	Traditional costume	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
370	North indians	Philosophical	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0		
371	North-east Indians	Nepalese or Chinese	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
372	Not able to mother	Banjuni	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0		
373	Odia	Lord Jagannath	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
374	Odia	Culture lovers	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
375	Odia boys	Unemployed	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
376	Odia festivals	Very amazing	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
377	Odia girl	Hard working	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
378	Odia girls	Always smile	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
379	Odia grandparents	Religious	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
380	Odia old men	Knowledgeable	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
381	Odia old woman	Good Cook	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
382	Odia people	too much shy in nature	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
383	Odia teachers	Very sensiour	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
384	Odia	Foody	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
385	Odia	Dahibara	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
386	Odia	eat only pakhala	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
387	Odia	Chakuli Pitha	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
388	Odia	Dahi vada	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
389	Odia	Traditional	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
390	North east	Are not part of India	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
391	North east	Are Chinese	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0		
392	Muslims	Mehendi	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
393	Muslims	Burkha	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
394	Muslims	Quran	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
395	Muslims	Jihadis	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0		
396	Muslims	Perfumes	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0		
397	Muslims	Terrorism	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
398	North east	China	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
399	Muslims	Allah	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0		
400	Muslims	Are spirituals	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
401	Naga	Tribal	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
402	Nai	Male	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0		
403	Muslim	Namaz reader	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
404	Muslims	Eat only non-veg	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
405	Muslim	Terrorist	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
406	Muslims	Non vegetarian	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0		
407	Muslims	Eat beaf	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
408	Muslims	Brotherhood	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0		
409	Muslims	Strict	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0		
410	Muslim	Beef traders	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0		
411	Muslim women	wear burkha	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
412	Muslims	Terrorists	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
413	North Indians	Intelligent	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
414	North Indians	They have the same language	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
415	North Indians	Foodies	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
416	North Indians	Farmers	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0		
417	North Indians	Rude and cocky	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
418	North Indians	Ethnic	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1		
419	North Indians	Panipuriwalas	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0		
420	North Indians	Are beautiful	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
421	North Indians	Are brave	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0		
422	North Indians	Simplicity	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0		
423	North Indians	Government jobs	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
424	North Indians	Indo-Aryan traditions and customs	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0		
425	Neat clothes with good personality	Leads to perfect human.	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0		
426	Negroes	Black	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
427	Nepalis	Farming	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0		
428	North India	Traditional costume	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
429	North Indians	Apple	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
430	Punjabi	Rich	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
431	Punjabi	Fishing	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1		
432	Wealthy person	proud	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		
433	West Indies	Black skin tone with curly hair	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
434	Widows	Inauspicious	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
435	Wife	Paid maid	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
436	Wealthy people	Arrogant	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0		
437	Wealthy people	Snobs	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
438	Vaishyas	Traders	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1		
439	Village people	Illiterate	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0		
440	Vishwakarma	Carpenters	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
441	Vyshas	Traders	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0		
442	Vyshyas	Shopvendors	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
443	Vyshyas	Worship Lord Vishnu	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
444	Vyshyas	Soft	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
445	Uttar Pradeshi	Civil servant	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
446	Female	Not Emotional	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
447	Female	Should not go out at night	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0		
448	Female	Not to wear short clothes	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
449	Female	Houseworkers	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
450	Female	Should not stay outside the home at night	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
451	Female	don't know how to drive car	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
452	Female	Giving birth	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
453	Female	Politician	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0		
454	Female	Philanthropists	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1		
455	Female	Should not go out without men	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0		
456	Female	Dominating	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0		
457	Female	prefer pink color	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
458	Female	Mothers	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0		
459	Female	Brave	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0		
460	Female	Baby care taker	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0		
461	Female	Not go outside at night	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
462	Female	Housework	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0		
463	Female	Cannot drive	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0		
464	Female	Caretaker/Housewife	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
465	Female	Can't wander openly	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
466	Female	Can't go to selected temples	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
467	Female	Should dress accordingly	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0		
468	Female	Dependent	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0		
469	Uttrakhand	Gadwal	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0		
470	Uttarakhandis	Are good dancers	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
471	Female	Strength	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0		
472	Teaching	Female	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0		
473	Teenager	Rebel	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
474	Teenagers	Lazy	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
475	Teenagers	Rebels	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
476	Telugu	Technology	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0		
477	Telugu people	Emotional	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0		
478	Third gender	Maichia	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0		
479	Teachers	Skilled	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
480	Teachers	Motivators	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1		
481	Tamilians	Weavers	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
482	Tamils	Factory	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0		
483	Tamils	Business persons	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0		
484	Tattooed person	Uncivilized	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0		
485	Teachers	Friendly	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
486	Teachers	Courageous	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
487	Teachers	Clever	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0		
488	Teachers	Knowledgeable	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0		
489	Teachers	Hardworkers	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
490	Uttar pradesh	Business persons	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0		
491	Tulu	Traders	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0		
492	Uneducated people	Not intelligent	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		
493	Uneducated people	Cleaners, peon	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0		
494	Unicorns	Adorable	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		
495	Transgender	Moneytaker	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0		
