"Identity","Attribute","Total","West Suburban","West Urban","South Suburban","South Urban","East Suburban","East Urban","North Suburban","North Urban","Female","Male","General Category","Scheduled Castes","Scheduled Tribes","Other Backward Classes","Hindu","Muslim","Jain","Sikh","Buddhist","Christian","",""
"Vyshas","Traders","1","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","",""
"Vyshyas","Shopvendors","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Vyshyas","Worship Lord Vishnu","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Vyshyas","Soft","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Uttar Pradeshi","Civil servant","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Not Emotional","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Should not go out at night","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","",""
"Female","Not to wear short clothes","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Houseworkers","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Should not stay outside the home at night","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","don't know how to drive car","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Giving birth","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Politician","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","0","",""
"Female","Philanthropists","1","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","",""
"Female","Should not go out without men","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","",""
"Female","Dominating","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Female","prefer pink color","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Mothers","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","",""
"Female","Brave","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","",""
"Female","Baby care taker","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","",""
"Female","Not go outside at night","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Housework","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Female","Cannot drive","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","",""
"Female","Caretaker/Housewife","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Can't wander openly","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Can't go to selected temples","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Should dress accordingly","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","",""
"Female","Dependent","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Uttrakhand","Gadwal","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Uttarakhandis","Are good dancers","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Strength","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","",""
"Teaching","Female","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","",""
"Teenager","Rebel","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Teenagers","Lazy","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Teenagers","Rebels","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Telugu","Technology","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Telugu people","Emotional","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Third gender","Maichia","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","",""
"Teachers","Skilled","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Teachers","Motivators","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","",""
"Tamilians","Weavers","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Tamils","Factory","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Tamils","Business persons","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Tattooed person","Uncivilized","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","1","0","0","0","",""
"Teachers","Friendly","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Teachers","Courageous","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Teachers","Clever","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","",""
"Teachers","Knowledgeable","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","",""
"Teachers","Hardworkers","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Uttar pradesh","Business persons","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","",""
"Tulu","Traders","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Uneducated people","Not intelligent","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",""
"Uneducated people","Cleaners, peon","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","",""
"Unicorns","Adorable","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Transgender","Moneytaker","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Uttar Pradeshi","Less girl population","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Uttar Pradesh Bihar people","Milk vendors","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","",""
"Uttar pradesh","Farmers","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Conservative clothing","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Transgender","Curse","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Transgender","Can not do jobs","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Transgenders","Not accepted by the society","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Transgender","Chakka","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Tribals","Are labourers","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Tribals","Illiterates","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Tribals","Junglees","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","",""
"Tribes","Hunting","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","",""
"Tribes","Careless","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","",""
"Tribes","Cleaning jobs","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","influencer","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Punjabi","Hate south indians","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Sonar","Goldsmith","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","",""
"wealthy people","snobs","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","",""
"wealthy people","arrogant","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Lower caste","Untouchable","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","",""
"Lower caste","filthy","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","",""
"slum people","illiterate","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"dhenkanl people","eating BADA so much","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"korea","female body type","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"men","do not cry","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"men","cannot cook","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Menstrating women","Impure","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"nagaland","tribes","1","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","",""
"old people","do not understand technology","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"ST","Poor","1","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","",""
"Uttar Pradeshis","Must be ips, collector","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Biharis","Must be ips, collector","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"SC","Poor","1","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","",""
"Strong","Men","1","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","",""
"agressive","Men","1","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","",""
"Uttar Pradeshis","Must be ips","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Biharis","Must be ips","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Uttar Pradeshis","collector","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Uttar Pradeshis, Biharis","Must be ips","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Uttar Pradeshis, Biharis","collector","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"SC/ST","Unreliable","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"SC/ST","Dirty","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Skin complexion (if fair)","Selfish","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","",""
"Skin complexion (if fair)","arrogant","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","",""
"Uneducated people","Cleaners","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","",""
"Uneducated people","peon","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","",""
"Female","Empathetic","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","shouldn’t work after pregnancy","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Female","aren't strong leaders","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Female","Houseworker","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Can’t drive well","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Female","Blue","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Female","Should be thin and fair to get accepted for marriage","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","",""
"Female","Home makers","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Are not allowed to wear men's clothes","1","1","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Female","Not working","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Dependent and weak","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Patient","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Submissive","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Obedient","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Incompetent at sports","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","terrible drivers.","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Are not pure during mensuration","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Not rational","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Calm","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Not good at science","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",""
"Female","Not soldiers","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Yadavs","Traders","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","",""
"Women","Are persistent and patient","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Women's","Giving birth","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Female","Cannot run businesses","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Working women","Can't look after their family","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Working women","Stubborn","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","",""
"Worship","Brahmins","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Yadav","lower class","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Women","Can't wear short clothes","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","",""
"Women","Are always nurturers","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","",""
"Women","Are wisest","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","",""
"Female","Bus drivers","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Cook","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",""
"Female","Courageous","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","",""
"Female","Architect of society","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Gorgeous","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","",""
"Female","Sexual objects","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Female","Jealous","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Women","Are beautiful","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","",""
"Women","Are weak for doing hard jobs compare to boys.","1","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","",""
"Women","Are natural nurturers","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Women","Are weak","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","",""
"Tamilians","Scientists","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Tamilian","Business persons","1","1","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Tamil girls","Dancing","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"SC/ST","Unreliable, Dirty","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"SC","Labour","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","",""
"SC, ST","Poor","1","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","",""
"SC/ST","Gets Reservation","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","",""
"SCs & STs","Not intelligent","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","",""
"ST & SC","OBCs","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Sabar","Agriculture and hunting","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","",""
"Salesperson","Only care about themselves","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Rural people","Are unsophisticated","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","",""
"Rural people","illiterate and cheap","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Rural children","Child labor","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","",""
"Rich","Happy","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Rich kids","Are selfish","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","",""
"Rich people","Happy","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","",""
"Rich person","High status in society","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Rockstar","Boy singer","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Rural Children","Child Labour","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","",""
"Shivyas","Worship lord Shiva","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Short girls","Marriage inconvenience","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Shudras","Artists","1","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","",""
"Shudras","Labourers","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Sikh","Job","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Santhala","Bahabonga","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","",""
"Satara","Kandipedhe","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Sc","Not allowed temple","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","",""
"Sc st","Category","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","",""
"Scheduled Caste","Poor","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Science Stream","Intelligent","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Tamil Nadu","Rameshwar","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","",""
"Punjabi","Non vegetarians","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","",""
"Punjabi","Millitary","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Punjabis","Are singhs","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Punjabis","Are courageous","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Puppies","Cute","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Rainbow","Beautiful","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","",""
"Puri people","bad in nature","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Purimandir","No shadow","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","",""
"Racism","Blacks","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","",""
"Punjabi","Love drinking alcohol","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","",""
"Punjabi","Money people","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Punjabi","Household","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Punjabi","To be very loud and excited always","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Punjabi","Dhabawale","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","",""
"Punjabi","Athletics","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","",""
"Punjabi","Bulky and chubby","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Punjabi","Bhangda","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Punjabi","Heavy drinkers","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Rajsthan","Traders","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Rajasthan","no water","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Receptionist","Female","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Red","Flags","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","",""
"Masculinity","Dominant","1","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","",""
"Rajputs","Kings","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Rajputs","Caste","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Rajasthan","No water","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Rajasthan","Only Sand","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Rajasthanis","Are Businessmen","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Rajasthanis","Worker","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Rajasthanis","Kanjoos","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Rajasthanis","Misers","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Rajasthanis","Shop","1","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","",""
"Rajasthanis","Child marriage","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","",""
"Rajasthanis","Businessmen","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","",""
"South indians","Intelligent","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"South indians","Good at math","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","",""
"Southindians","Are good-looking","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Spirutual","All indias are spirutuall","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"South Indians","Energetic","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","",""
"South Indian","Spicy food","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"South Indian","Are food lovers","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","",""
"South Indian","Agriculture","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"South Indian","Coconut","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"South Indian","Idli, dosa","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"South Indian","Dark skinned","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"South Indian","idli sambar","1","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","",""
"South Indian","Traders","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"South Indian","Engineers","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","",""
"South Indian","Tech geeks","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Sikhs","Non vegetarian","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Stylish females","Sluts","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Sutars","Carpenters","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","",""
"Swarnakars","Are goldsmiths","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Sweepers","Not a respectable profession","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","",""
"Study","For job","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Arts students, Music students, Dance students","No career","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Students","Irresponsible","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","",""
"Strong, agressive","Men","1","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","",""
"Students","Polite","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Students","Punctual","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","",""
"Students","Study","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Students","Courageous","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","",""
"Students","Energetic","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","",""
"Students","Wisest","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Students","Honest","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","",""
"Students","Impressive","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","",""
